Product title,SKU,Items sold,N. Revenue,Orders,Category,Variations
Three Sided Welding Screen - Defender 500 - Red (Deleted),,810,140550.49,349,"Broaching Cutters, Bulk MIG Wire, Circular Saws, Filter Kits &amp; Servicing, GBC Pipe Saws, Generators, Lighting Towers, Magnetic Drills, Oxy Fuel Nozzles, Oxy Fuel Torches, Spares &amp; Accessories, Welding Trousers &amp; Spats, Offers &amp; Deals, Welding Equipment, MIG Welders, TIG Welders, Arc/MMA Welders, Multi Process Welding Machines, Spot Welders, Portable Spot Welders, Pedestal/Column Spot Welders, Spot Welding Electrodes, Tecna Pedestal Spot Welding Electrodes, Tungsten Grinders, Handheld Tungsten Grinders, Tungsten Grinders - Bench Mounted, Tungsten Grinders with Extractors, Welding Electrode Quivers and Ovens, Oxy-Fuel Equipment, Cutting &amp; Welding Sets, Type 3/5 HD Torch Components, Lightweight Welding Nozzles, Oxy-Acetylene Welding Rods, Oxy-Acetylene Welding Rods - Brazing, Oxy-Acetylene Welding Rods - Aluminium, Oxy-Acetylene Welding Rods - Steel, Copper Phosphorus Brazing Rods, Silver Solder Welding Rods, Gas Cutting Torches, Gas Cutting &amp; Gouging Nozzles, Oxy-Propane Torches, Cutting Guides Oxy/Acet/Propane, Cutting Machines, Straight Line Cutting Machines, Oxy-Acetylene Torches, Welding Nozzles, DH Welding Nozzles - Oxy/Acetylene, HD Welding Nozzles - Oxy/Acetylene, Plate Bevellers, Thermal Spray Equipment &amp; Powder, Tool Balancers, Stud Welding Equipment, Stud Welders - Capacitor Discharge (CD), Weld Studs, Aluminium CD Weld Studs, Stainless Steel CD Weld Studs, Welder Water Coolers, Weld Cleaning Equipment, Pickling &amp; Neutralising Agents, Stainless Steel Weld Cleaning Equipment, IsoJet Stainless Steel Weld Cleaner, Easykleen Plus &amp; TIG System, mepBlitz Elecro Polisher, Bymat Weld Cleaning Machines, Stainless Brighteners &amp; Rust Remover, TIG Wand Rapid, Welder Generators, Mosa Welder Generators, Generators, Welding Consumables &amp; Supplies, MIG Welding Supplies, MIG Welding Wire, Copper Free MIG Wire, Mild Steel MIG Wire, Stainless Steel MIG Wire, Aluminium MIG Wire, Brazing MIG Wire, Hard Facing MIG Wire, High Strength Steel MIG Wire, Flux Cored MIG Wire - Stainless Steel, Flux Cored MIG Wire - Steel, MIG Torches &amp; Consumables, Binzle-Style MIG Torch Consumables, Binzle-Style MIG Consumables, MIG Liners, Euro Connection MIG Torches, Euro MIG Torches - ERGO, MIG Welding Nozzles, Disposable Shielding Gas Cylinders, TIG Welding Supplies, TIG Welding Rods, TIG Filler Rods for High Strength Steel, TIG Filler Rods for Hard Facing, TIG Filler Rods for Aluminium, TIG Filler Rods for Magnesium, TIG Filler Rods for Mild Steel, TIG Filler Rods for Stainless Steel, TIG Filler Rods for Brazing/Bronze Welding, TIG Filler Rods for Copper/Copper-Nickel, TIG Filler Rods for Dissimilar Steels, TIG Filler Rods for Duplex Stainless Steel, TIG Filler Rods for Nickel Alloy, TIG Filler Rods for Titanium, TIG Torches &amp; Spare Parts, TIG Torch Adaptors &amp; Switches, TIG Torch Adaptors, TIG Torch Consumables, Tungsten Electrodes, Ceriated Tungsten Electrodes, Lanthanated Tungsten Electrodes, Superstrike AC/DC Tungsten Electrodes, Thoriated Tungsten Electrodes, Zirconiated Tungsten Electrodes, MMA/ARC Welding Supplies, MMA Stick Electrodes, Steel &amp; Low Hydrogen Electrodes, Stainless Steel Welding Electrodes, Hard Surfacing Electrodes, Cutting/Gouging Welding Electrodes, Dissimilar Steel Welding Electrodes, Cast Iron Welding Electrodes, Earth Clamps, Electrode Holders MMA, Welding Cable and Accessories, Welding Cable (Copper/PVC), Welding Cable (Copper/Rubber), Re-usable Cable Lugs, Welding Cable (Double Insulated), Welding Cable - Plugs &amp; Sockets, Welding Cable Sets, Devcon Maintenance Products, Devcon Flexane, Devcon Epoxy Adhesives, Devcon Epoxy Metal Repair Putty, Weld Backing Ceramics &amp; Tapes, Katbak Ceramic Backing Strips, Ceramic Backing Strips, Weld Backing Tapes, Welding Chemicals and Sprays, Anti-Spatter Spray, Leak Detection Spray, Ardrox NDT Products, Ardrox NDT Aerosols, Thermal Spray Powders, Gas Delivery &amp; Control, Gas Control Header Rails, Gas Flow Components, Argon &amp; Co2 Gas Heaters, Gas Economisers / Flowmeters, Gas Economisers - Spares, Gas Economisers - Oxy/Acetylene, Gas Fluxers &amp; Fluxes, Gas Fluxers, Welding Fluxes, Flashback Arrestors, Gas Arc Regulators, CO2 Regulators, Fuel Gas Regulators, Inert Gas Regulators, NEVOC Regulators, Oxygen Regulators, High Pressure Gas Regulators, Gas Arc Cylinder Mounted Gas Regulators, Gas Arc Hi Flow Gas Regulators, Gas Arc Panel Mounted Gas Regulators, Gas Arc Spares &amp; Certificates, Gas Changeover Manifold Panels, Gas Arc Auto Changeover Manifold Panels, Auto Changeover Manifolds (2 x 1 / 0 - 6 Bar), Auto Changeover Manifolds (2 x 1 / 0 - 10 Bar), Auto Changeover Manifolds (MCP 2 x 1 / 0 - 6 Bar), Auto Changeover Manifolds (MCP 2 x 1 / 0 - 10 Bar), Manual Changeover Manifolds, Manual Changeover Manifolds (0 - 6 Bar), Manual Changeover Manifolds (0 - 10 Bar), Manifold &amp; Regulator Parts/Connectors, Welding Gas Hoses, MIG Gas Welding Hoses, Argon/Shielding Gas Hose, Hose Reels - Oxy-Acetylene/Propane, Oxy Fuel Hoses, Gas Arc Welding Hoses, Twin Welding Hoses, Twin Welding Hoses - Fitted Set, Siamese Twin Welding Hoses - 100m Rolls, Welding Hoses - Fitted Single Lengths, Welding Hoses - Bulk Coils, Gas Arc High Pressure Gas Hoses, Gases other than Oxy/Oxy Mixture, Oxygen High Pressure Flexible Gas Hoses, Gas Cylinder Storage &amp; Handling, Gas Cylinder Brackets, Gas Cylinder Cages, Gas Cylinder Trolleys &amp; Handling, Gas Cylinder Trolleys, Gas Cylinder Trolleys - Reflex UK, Gas Cylinder Trolleys - Non UK Made, Medical Trolleys &amp; Wall Brackets, Gas Hose and Regulator Fittings, Cylinder Fittings, Cylinder Connectors, Cylinder Adaptors, Cylinder Extensions Right or Left Hand, Twin Outlet Valves, Hose Fittings, Regulator Bull Nose &amp; Nevoc Stem &amp; Nut, Hose Check Valves - Torch Fitting, Hose Couplers, Straight Adaptors, Hose Nuts - Regulator Fitting, Hose Tails - Regulator Fitting, Regulator Stems &amp; Fittings, Gas Alarm Panels, Gas Control Outlet Points/Panels, Tech Master Isolation Valves, Gas Control Outlet Panels, Lineleader Gas Control Outlet Points, Outlet Point Gas Regulators, LGL500 Outlet Point Gas Regulators, LGP500 Outlet Point Gas Regulators, Bench &amp; Wall Mounted Outlet Points, Gas &amp; Plasma Cutting Machines, Gas Cutting Machines (Oxy-Fuel), Pipe Cutting Machines (Oxy-Acetylene), Straight Line Cutting Machines, Cutting &amp; Gouging Nozzles, Oxy/Acetylene Cutting Nozzles ANME, Oxy/Acetylene Cutting Nozzle ANME, NFF Cutting Nozzles, Victor Cutting Nozzles, VVC Cutting Nozzles, Oxy/Acetylene Gouging Nozzles AGNM, Gouging Nozzles AGNM, Oxy/Propane Cutting Nozzles PNM/PNME, Oxy/Propane Cutting Nozzle PNM, Oxy/Propane Cutting Nozzle PNME, Oxy Propane Gouging Nozzles PGNM, Plasma Cutting Equipment, Plasma Cutters, Jasic Plasma Cutter Spares, Plasma Cutting Torches, Plasma Torch Spares, Thermal Dynamics Compat Spares, Thermal Dynamics Type PCH-35, Thermal Dynamics Type PCH-51, Thermal Dynamics Type PCH-52, Thermal Dynamics Type PCH-70, Weldability Plasma Cutter Spares, Sif Weld Cut 100 Spares, Sif Weld Cut 40 Spares, Carbon Arc-Air Gouging Equipment, Arc-Air Gouging Carbons, Carbon Arc Gouging Torches, Welding Fume Extraction, Kemper Fume Extraction Equipment, Kemper Mobile Fume Extraction, Kemper Static Filter Units, Kemper Central Fume/Dust Extraction, Kemper Hi Vacuum Fume Extraction, Kemper Filter Tables, Kemper Spares &amp; Accessories, Kemper Fans, Kemper Hoses &amp; Nozzles, Kemper Exhaust Arms &amp; Hoods, Kemper Lighting Sets &amp; Start-Stop Sets, Kemper Misc Parts &amp; Accessories, Kemper Filters, F-Tech Fume Extraction, Kemper Clean Air Systems, Air Purifying Systems, Kemper Airwatch, Kemper CleanAirTower, Bench Top Extractors, On Torch Fume Extraction &amp; Accessories, Kemper On Torch Fume Extraction, WSL - On Torch Fume Extractors, Pipe Welding &amp; Cutting Equipment, Pipe Cutting Equipment, Pipe Cutting Machines, Manual Pipe Cutting Machine Spares, Automatic Pipe Cutting Machines, Automatic Pipe Cutting Machine Spares, Magnetic Pipe Cutting Machines, Magnetic Pipe Cutting Machine Spares, Pipe Saws, TAG ‘E-Z’ Pipe Saws, Exact Pipe Saws, Exact PipeCut for Cutting Spiral Ducting, Pipe Saw Spares &amp; Roller Supports, Exact Saw Blades, 140mm Saw Blades &amp; Diamond Cutting Discs, 165mm Saw Blades &amp; Diamond Cutting Discs, Special Blades, Exact 170 Pipe Cutting Benches, Pipe Bench System Accessories, Pipe Bevelling Machines &amp; Tools, Prep 2 Pipe Preparation Machines, Prep 3 Pipe Preparation Machines, Prep 4 Pipe Preparation Machines, Prep 8 Pipe Preparation Machines, Pipe Prep Blades, Pipe Welding Tools &amp; Accessories, Pipe Measuring &amp; Marking Tools, Pipe Centering Heads, Contour Markers, Radius Markers, Flange Pins, Drain Test Plugs &amp; Stoppers, Expandable Pipe Stoppers, Hollow Bore Drain Test Plugs, Nylon Drain Test Plugs, Water Soluble Welding Products, Weld Backing Tape, Fibreglass Weld Backing Tape, Purge Gas Retaining Tape, Pipe Stands, Roller Pipe Stands, Pipe Roller Stands, AMA Roller Pipe Stands, Double Roll Pipe Stands, Mega-Pipe Stands, Floor Mounted Roller Stands, Multi-Stand Pipe Stands, V Head Stands, Single Tube Pipe Stands, Five Leg Pipe Stands, Tri-Stands &amp; Pipe Jacks, Quattro Pipe Stands, Pipe Conveyors, Pipe Rotators, Pipe Welding Clamps, E-Z Fit Gold Pipe Alignment Clamps, PDQ Pipe Alignment Clamps, Black Bridge Clamps, Gold Bridge Alignment Clamps, Cage Pipe Clamps, Chain Pipe Alignment Clamps, Double Chain Pipe Clamps, Single Chain Pipe Clamps, Pincer Pipe Clamps, Spider Pipe Clamps, Pipe Purging Equipment, Inflatable Purge Bag Systems, Inflatable Purge Bag Systems, Pre-formed Self Adhesive Purge Dams, Double Seal Purge Systems, Double Seal Kits Complete, Weld Purge Monitors, Welding Tools &amp; Benches, Angle Grinder Discs, Cutting Discs, Flap Discs, Ceramic Flap Discs, Grinding Discs, Sanding Discs, Welding Benches &amp; Tables, Heavy Duty Welding Benches, Steel Top Welding Benches, Welding Bench Accessories, Mobile Work Benches with Steel Top, Stainless Steel Work Benches, Stainless Steel Work Benches with Lower Shelves, Stainless Steel Work Benches with Drawer &amp; Cupboard, Super Heavy Duty Work Benches, Medium Duty Welding Benches, Magnetic Welding Positioners, Magswitch Magnetic Earth Clamps, Work Holding Devices - Fixed Angle, Work Holding Devices - Variable Angle, Cable Reels, Tool Kit Sets &amp; Cabinets, Screwdriver Sets, Wrench Sets, Plier Sets, Socket Sets, Tool Boxes &amp; Cabinets, Welding &amp; Marking Tools, Welding Tools, Temperature Indicator Pens, Welding Gauges, Safety Equipment, Spill Containment &amp; Response Kits, Welding Helmets &amp; Masks, Welding Helmet Spares, Welding Helmets, Welding Masks, Welding Clothing, Welding Caps &amp; Balaclavas, Welding Aprons, Welding Capes &amp; Sleeves, Welding Jackets, Welding Jackets &amp; Trousers - Standard, Welding Overalls, Welding Gloves &amp; Gauntlets, Welding Blankets &amp; Mats, Pipe Wrap, Welding Screens &amp; Curtains, Welding Curtain Frames &amp; Arms, Welding Curtains &amp; Frames - Tusker, Welding Curtains &amp; Frames - Defender, Welding Curtains &amp; Frames - Standard, Welding Strip Curtains, Fire Retardant Tarpaulin, Welding Goggles &amp; Spectacles, Protective Eyewear, Respirator Masks, Air Fed Face Shields, Safety Visors, Safety Goggles, Safety Spectacles, Heat Reflective Clothing, Fire Barrier Fabric, Strip Curtains, Welding Tents &amp; Work Shelters, Air Tools &amp; Compressors, Air Tools, Air Riveters, Air Angle Grinders, Air Die Grinders, Air Drills, Air Impact Wrenches, Air Needle Scalers, Air Rachet Wrenches, Air Sanders / Air Polishers, Air Screwdrivers, Air Belt Sanders, Paint Spray Guns &amp; Accessories, Air Compressor Hoses &amp; Accessories, Air Line Hoses, Recoil Air Hoses (uPVC), Air Compressor Safety Cages, Air Compressors, Refrigerated Air Dryers, Direct Drive Compressors, Low Noise Compressors, Screw Compressors, Servicing &amp; Parts, Petrol Air Compressors, Belt Driven Air Compressors, Metal Saws &amp; Magnetic Drills, Chop Saws / Cut-Off Saws, Circular Saws &amp; Blades, Circular Saw Blades",0
EW10 Spare Lens for Leather Welding Mask (Monkey Mask),1389,640,58.2,13,Welding Masks,0
Cr39 Anti Spatter Spare Lens for Leather Welding Mask (Monkey Mask),1385,560,39,9,Welding Masks,0
"Premium Gold Welders Gauntlets (16"")",PGWG16,410,2050.2,11,Welding Gloves &amp; Gauntlets,0
Pipe Stand Fixed Leg,PJ3FX,292,15733.42,44,Tri-Stands &amp; Pipe Jacks,3
Drop-forged Combination Spanner with Integrated Cylinder Key (DZ0001),DZ0001,250,636,2,Welding Tools,0
Pipe Roller Head - Steel Wheels,SWK350,215,7759.63,28,"Multi-Stand Pipe Stands, Single Tube Pipe Stands, Tri-Stands &amp; Pipe Jacks",0
Bull Nose BS341 No3 Cylinder Connection with Stem &amp; Nut (Base Entry) RH Thread,RSP00250,204,5398.25,40,Cylinder Connectors,0
Tecna 9338 Tool Balancer (6-8 Kg) - 2500 mm Stroke,9338,155,17382.51,19,Tool Balancers,0
Additional Carriage,EXFRGT,151,4816.29,151,Welding Equipment,0
